Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	18:52:45	18:52:45	18:52:45			18:52:45	18:52:46	18:52:46	18:52:46	18:52:46	18:52:46	18:52:46	18:52:49	18:52:49	18:52:49	18:52:49	18:52:49	18:52:49			18:52:51	18:52:51		00:00:00		00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:05
1	18:52:52	18:52:52	18:52:52	18:52:52	18:52:52	18:52:52	18:52:52	18:52:52	18:52:52	18:52:52	18:52:52	18:52:52	18:52:54	18:52:54	18:52:54	18:52:54	18:52:54	18:52:54			18:52:56	18:52:56		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
2	18:52:56	18:52:56	18:52:56	18:52:56	18:52:56	18:52:56			18:52:56	18:52:56	18:52:56	18:52:56	18:52:58	18:52:58	18:52:58	18:52:58	18:52:58	18:52:58			18:52:59	18:52:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
3	18:52:59	18:52:59	18:52:59	18:52:59	18:52:59	18:52:59			18:52:59	18:52:59	18:52:59	18:52:59	18:53:01	18:53:01	18:53:01	18:53:01	18:53:01	18:53:01			18:53:02	18:53:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
4	18:53:02	18:53:02	18:53:02	18:53:02	18:53:02	18:53:02			18:53:02	18:53:02	18:53:02	18:53:02	18:53:04	18:53:04	18:53:04	18:53:04	18:53:04	18:53:04			18:53:05	18:53:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	18:53:05	18:53:05	18:53:05	18:53:05	18:53:05	18:53:05			18:53:05	18:53:05	18:53:05	18:53:05	18:53:07	18:53:07	18:53:07	18:53:07	18:53:07	18:53:07			18:53:08	18:53:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
6	18:53:08	18:53:08	18:53:08	18:53:08	18:53:08	18:53:08			18:53:08	18:53:08	18:53:08	18:53:08	18:53:10	18:53:10	18:53:10	18:53:10	18:53:10	18:53:10			18:53:11	18:53:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
7	18:53:12	18:53:12	18:53:12	18:53:12	18:53:12	18:53:12			18:53:12	18:53:12	18:53:12	18:53:12	18:53:14	18:53:14	18:53:14	18:53:14	18:53:14	18:53:14			18:53:16	18:53:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
8	18:53:16	18:53:16	18:53:16	18:53:16	18:53:16	18:53:16			18:53:16	18:53:16	18:53:16	18:53:16	18:53:18	18:53:18	18:53:18	18:53:18	18:53:18	18:53:18			18:53:19	18:53:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
9	18:53:19	18:53:19	18:53:19	18:53:19	18:53:19	18:53:19			18:53:19	18:53:19	18:53:19	18:53:19	18:53:21	18:53:21	18:53:21	18:53:21	18:53:21	18:53:21			18:53:22	18:53:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
10	18:53:22	18:53:22	18:53:22	18:53:22	18:53:22	18:53:22	18:53:22	18:53:22	18:53:22	18:53:22	18:53:22	18:53:22	18:53:25	18:53:25	18:53:25	18:53:25	18:53:25	18:53:25	18:53:25	18:53:25	18:53:26	18:53:26		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:01	00:00:03
